lon,lat,val
-86.24,43.17,5.44
-88.92,35.59,3.1
-95.78,34.88,1.88
-90.52,41.46,4.02
-105.88,46.43,2.71
-68.69,45.65,3.26
-88.25,30.69,4.22
-120.95,37.62,-1.72
-101.27,48.26,5.34
-72.56,44.2,4.55
-77.98,39.4,5.2
-87.6,34.74,3.81
-89.34,43.14,6.24
-114.09,46.92,-0.59
-90.25,29.99,4.25
-98.06,32.78,1.47
-121.57,39.1,0.76
-90.03,30.05,3.21
-73.97,40.78,5.5
-114.62,32.65,-1.36
-97.44,41.99,2.22
-97.6,35.39,0.79
-122.9,46.97,-0.36
-95.9,41.31,2.73
-119.52,48.46,-0.84
-84.24,36.02,3.97
-87.93,42,4.98
-76.19,36.9,4.22
-71.87,42.27,5.9
-92.45,41.11,4.98
-98.55,37.28,1.31
-116,39.6,0.09
-88.77,37.06,3.71
-80.1,26.68,3.29
-118.85,45.7,-1.91
-122.6,45.59,-0.55
-75.23,39.87,5.02
-112,33.43,0.48
-89.68,40.67,4.74
-112.57,42.92,2.78
-100.28,44.38,1.6
-80.21,40.48,4.12
-81.44,39.34,2.84
-84.79,45.56,8.78
-97.1,36.74,1.88
-87.19,30.48,4.36
-88.53,30.46,4.55
-120.63,35.67,0.03
-96.25,28.72,3.09
-71.43,41.72,4.09
-70.3,43.65,4.86
-122.25,40.15,0.86
-122.3,40.52,0.98
-121.14,44.26,-1.81
-78.78,35.89,2.26
-89.09,42.19,4.26
-77.32,37.5,3.64
-97.05,28.08,1.55
-109.05,41.59,1.29
-79.97,37.32,4.55
-77.68,43.12,5.26
-104.51,33.31,-1.08
-92.49,43.9,7.26
-95.08,44.55,6.76
-121.5,38.51,0.28
-117.18,32.73,-0.16
-98.48,29.54,1.74
-81.21,32.13,3.03
-119.84,34.43,-0.36
-86.32,41.71,4.17
-75.51,38.34,4.74
-121.22,37.89,0.26
-118.72,34.74,-0.52
-85.74,38.18,3.31
-122.31,47.44,-0.22
-122.26,47.69,0.47
-122.36,37.62,-0.93
-93.39,37.24,3.24
-106.97,44.77,0.71
-93.82,32.45,4.74
-122.47,41.78,-0.74
-121.92,37.36,-0.78
-100.5,31.35,1.64
-111.97,40.78,2.88
-123,44.9,-0.53
-118.45,34.02,-0.41
-120.45,34.9,0.51
-121.61,36.66,0.02
-82.63,27.76,3.43
-89.68,39.84,5.53
-98.49,33.98,1.76
-98.47,29.34,1.09
-81.39,31.15,4.64
-94.05,45.54,7.45
-94.92,39.77,4.28
-90.37,38.75,4.93
-93.06,44.93,5.64
-122.81,38.5,1.19
-96.38,42.39,2.69
-97.09,36.16,1.76
-76.1,43.11,6.28
-104.34,37.26,-0.31
-87.62,33.21,3.86
-84.35,30.39,4.02
-83.8,41.59,4.43
-95.63,39.07,5.29
-82.54,27.96,4.34
-117.09,38.05,-0.67
-82.4,36.47,3.57
-95.89,36.2,2.81
-88.77,34.26,2.91
-110.96,32.13,0.17
-85.58,44.74,7.09
-119.99,38.9,1.62
-91.03,32.35,4.09
-94.01,33.45,2.43
-95.4,32.35,2.77
-83.99,35.82,3.64
-124.56,47.94,1.29
-91.19,39.94,5.43
-121.96,38.38,0.12
-96.93,28.86,2.95
-109.51,40.44,4.64
-80.24,27.65,3.78
-100.55,42.88,-0.19
-118.21,34.74,-1.26
-117.81,40.9,-2.22
-107.95,43.97,1.9
-120.54,46.57,1.48
-80.67,41.25,5.47
-81.89,39.94,3.22
-156.78,71.28,1.79
-151.51,66.92,5.68
-134.56,58.36,3.53
-155.61,62.96,3.93
-150.03,61.17,5.06
-141.94,62.96,9.85
-162.63,66.87,2.86
-135.36,57.05,0.57
144.8,13.48,0.9
-159.34,21.98,0.71
-157.1,21.16,2.19
-157.93,21.32,1.33
-156.43,20.9,0.28
-155.05,19.72,0.47
-64.97,18.33,-0.76
-64.8,17.7,-3.21
-65.64,18.26,-0.08
-66.01,18.43,-0.24
