Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1007571,110043814450,"Valley Proteins, Inc. - Fayetteville",Fayetteville,NC,28301,1309 Industrial Drive,,Cumberland,35.0637521,-78.8722341,311613,C,42041.7
1006213,110000604294,"Valley Proteins, Inc. - Rose Hill",Rose Hill,NC,28458,469 Yellow Cut Rd.,,DUPLIN,34.838207,-78.035053,311613,C,39688.4
1002635,110000352369,"Valley Proteins, Inc. - Ward",Ward,SC,29166,271 Val-Pro Rd.,,SALUDA,33.858536,-81.70832,311613,C,28415.4
1005419,110043811621,Valley View Landfill,East Helena,MT,59635,300 Highway 518,,LEWIS AND CLARK,46.5390802,-111.8171443,562212,HH,
1001463,110000467290,Valmont,BOULDER,CO,80302,1800 N 63RD ST,,Boulder,40.038629,-105.3716684,221112,"C,D",1110877.9
1001364,110000467290,Valmont Combustion Turbine Facility,BOULDER,CO,80302,1800 N 63RD ST,,Boulder,40.038629,-105.3716684,221112,"C,D",8393.6
1001114,110001736033,Van Sant,DOVER,DE,19904,125 ELECTRIC AVE,,Kent,39.1850643,-75.5975296,221112,"C,D",3345
1000814,110017411718,Vandolah Power Project,WAUCHULA,FL,33873,2394 VANDOLAH ROAD,,Hardee,27.523458,-81.923578,221112,"C,D",219083
1001528,110001287474,Venice,VENICE,IL,62090,701 MAIN ST,,Madison,38.66588,-90.17505,221112,"C,D",98747.2
1002452,110043784198,Veolia Energy Kansas City,KANSAS CITY,MO,64106,115 GRAND AVENUE,,JACKSON,39.11157,-94.58097,221330,C,199077.3
1004202,110043811630,Veolia Energy NA Tulsa,Tulsa,OK,74103,202 S. Frisco,,Tulsa,36.1592882,-95.9964783,221330,C,24873
1003084,110043810436,"Veolia Energy Trenton, L.P.",Trenton,NJ,08608,320 S. Warren Street,,MERCER,40.21682,-74.76526,221330,C,39404.3
1001526,110043809304,Vermilion Power Station,OAKWOOD,IL,61858,COUNTY ROAD 2150 N,,Vermilion,40.1440955,-87.7566513,221112,"C,D",799844.4
1007395,110043810445,Verner,McAlester,OK,74501,"34.925, -95.914",,Pittsburg,34.9879281,-95.8142885,486210,C (Abbr),27537.3
1000111,110043789120,Vernon Boulevard,LONG ISLAND CITY,NY,11427,42 30 VERNON BLVD,,Queens,40.7292825,-73.7507276,221112,"C,D",37291.3
1003435,110043811649,Vernon Compressor Station,Jonesboro,LA,71251,"32.290578°, -92.626216°",,JACKSON,32.214445,-92.6785092,486210,C (Abbr),76806.4
1001502,110000363455,Vero Beach Municipal,VERO BEACH,FL,32961,100 17TH ST,,Indian River,27.69006,-80.41268,221112,"C,D",35681.6
1001296,110043803747,Verso Androscoggin LLC,JAY,ME,04239,GATE 15 RILEY ROAD,,Franklin,44.5272304,-70.2332201,221112,"C,D",444041
1001155,110000397516,Vertellus Agriculture & Nutrition Specialties LLC,Indianapolis,IN,46242,1500 South Tibbs Avenue,,Marion,39.7299999,-86.26,325192,C (Abbr),84005.1
1000924,110043783634,Victoria Power Station,VICTORIA,TX,77901,1205 S BOTTOM ST,,Victoria,28.8066384,-96.9960925,221112,"C,D",395286.4
1007607,110035778717,Victorville Sanitary Landfill,Victorville,CA,92392,18600 Stoddard Wells Road,,San Bernardino,34.4854334,-117.4203974,562212,"C,HH",
1000647,110043807066,Vienna,VIENNA,MD,21869,CHAPEL OF EASE ROAD,,Dorchester,38.4818842,-75.8766333,221112,"C,D",11666.2
1000289,110043972984,Vintage Prod. CA Lost Hills Facility,Lost Hills,CA,93249,12888 Holloway Road,,KERN,35.686741,-119.801829,211111,C,203633.7
1002345,110043805601,Viosca Knoll 786 A,Covington,LA,70433,100 Northpark Blvd,,SAINT TAMMANY,30.44298,-90.08364,211111,C,71783.4
1007560,110043784214,Viosca Knoll VK 900,Covington,LA,70433,100 Northpark Blvd,,SAINT TAMMANY,30.44298,-90.08364,211111,C,27255
1005660,110017404414,Virginia Tech,BLACKSBURG,VA,24061,112 MAINTENANCE COMPLEX,,MONTGOMERY,37.232159,-80.421738,611310,C,118650.1
1004548,110014324196,Visalia Landfill,Visalia,CA,93291,33466 Road 80,,TULARE,36.38797,-119.39476,562212,"C,HH",
1006868,110043783643,W A Parish,THOMPSONS,TX,77469,YU JONES RD,,Fort Bend,29.5044684,-95.7089241,221112,"C,D",16459497.1
1006794,110043793918,W H Sammis,STRATTON,OH,43961,STATE ROUTE 7,,Jefferson,40.5210208,-80.6257539,221112,"C,D",11800594.8
1000829,110000350049,W H Weatherspoon Steam Electric Plant,LUMBERTON,NC,28358,491 POWER PLANT ROAD,,Robeson,34.587776,-78.976964,221112,"C,D",748246.3
1001007,110000392860,W H Zimmer Generating Station,MOSCOW,OH,45200,1781 US ROUTE 52,,Clermont,38.8651664,-84.223783,221112,"C,D",8259461
1007705,110043793927,W M W I - TIMBERLINE TRAIL RDF,WEYERHAEUSER,WI,54895,N4581 HUTCHINSON ROAD,,Rusk,45.4032936,-91.4251746,562212,"C,HH",937.7
1007954,110016849598,W M W I STONE RIDGE RECYCLING AND DISPOSAL,MUSKEGO,WI,53150,S82 W21595 WAUER LN,,WAUKESHA,42.893661,-88.186348,562212,HH,
1000908,110043810454,W S Lee,WILLIAMSTON,SC,29697,LEE STEAM PLANT RD,,Anderson,34.6239999,-82.5510469,221112,"C,D",1086236
1006993,110001996948,WABASH VALLEY LANDFILL,WABASH,IN,46992,316 SPRING VALLEY ROAD,,WABASH,40.797821,-85.8205411,562212,"C,HH",83
