Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1006041,110018406679,US STEEL - GRANITE CITY,GRANITE CITY,IL,62040,1951 STATE ST,,MADISON,38.700273,-90.148924,331111,"C,Q",161.91
1000802,110008470724,US STEEL - IRVIN WORKS,DRAVOSBURG,PA,15034,CAMP HOLLOW ROAD,,ALLEGHENY,40.351279,-79.8884819,331111,"C,Q",102.06
1001621,110008799247,US STEEL - Minntac,MOUNTAIN IRON,MN,55768,8819 OLD HIGHWAY 169,,SAINT LOUIS,47.534032,-92.616419,212210,"C,Q",19.74
1004478,110000483450,US STEEL POSCO INDUSTRIES,PITTSBURG,CA,94565,900 LOVERIDGE ROAD,,CONTRA COSTA,38.02305,-121.85565,331221,C,21.63
1000124,110042043384,US Steel (Clairton Coke),CLAIRTON,PA,15025,400 STATE ST,,Allegheny,40.29478,-79.8746,324199,"C,Q",250.53
1000233,110043813772,US Steel (Edgar Thomson),Braddock,PA,15104,13th Street and Braddock Avenue,,Allegheny,40.4043414,-79.8604831,331111,"C,Q",29.4
1000159,110000366318,US Steel (Fairfield Works),FAIRFIELD,AL,35064,5700 VALLEY ROAD,,Jefferson,33.480364,-86.923289,331111,"C,Q",132.09
1001833,110000366318,US Steel - Fairfield Tubular Operations,FAIRFIELD,AL,35064,5700 VALLEY RD,,JEFFERSON,33.480364,-86.923289,331210,C,47.25
1006391,110043802276,US Steel - Fairless Hills Plant,FAIRLESS HILLS,PA,19030,SOUTH END PENNSYLVANIA AVENUE,,Bucks,40.1744339,-74.8565613,331111,C,12.18
1001834,110000497141,US Steel - Great Lakes Works,ECORSE,MI,48229,1 QUALITY DRIVE,,WAYNE,42.2581,-83.13859,331111,"C,Q",196.35
1001618,110008797864,US Steel - Keetac,KEEWATIN,MN,55753,1 MINE ROAD,,ST LOUIS,47.416667,-93.083333,212210,"C,Q",10.29
1001619,110033028738,US Steel - Lorain Tubular Operations,LORAIN,OH,44055,2199 E 28TH ST,,LORAIN,41.44574,-82.12005,331210,C,31.29
1001620,110000592181,US Steel - Midwest Plant,PORTAGE,IN,46368,6300 US 12,,PORTER,41.620389,-87.170278,331221,C,47.88
1000418,110000398374,US Steel Corp - Gary Works,GARY,IN,46402,1 NORTH BROADWAY,,Lake,41.608917,-87.305,331111,"C,Q",558.39
1007692,110041237989,USA VALLEY FAC INC/VALLEY LDFL,IRWIN,PA,15642,6015 PLEASANT VALLEY RD,,WESTMORELAND,40.385174,-79.67939,562212,"C,HH",27940.92
1007689,110001908589,USA WASTE OF VIRGINIA LANDFILLS - BETHEL LANDFILL,HAMPTON,VA,23666,100 NORTH PARK LANE,,HAMPTON,37.07206,-76.42688,562212,"C,HH",89171.04
1002792,110043796826,USDA-NATIONAL ANIMAL DISEASE CENTER,AMES,IA,50010,1920 DAYTON AVE,,Story,42.0320531,-93.5913939,541711,C,10.92
1001999,110002224726,"USG INTERIORS, LLC - GREENVILLE PLANT",GREENVILLE,MS,38701,850 NORTH BROADWAY,,WASHINGTON,33.42225,-91.049556,327993,C,21
1002000,110000594401,"USG INTERIORS, LLC - RED WING PLANT",RED WING,MN,55066,27384 HWY. 61 BLVD.,,GOODHUE,44.55682,-92.48339,327993,C,122.64
1006051,110000417923,"USG INTERIORS, LLC - WALWORTH PLANT",WALWORTH,WI,53184,208 ADELINE ST,,WALWORTH,42.535791,-88.601926,327999,C,34.02
1001901,110000426272,"USG Interiors, Inc.",Cloquet,MN,55720,35 Arch St.,,CARLTON,46.724414,-92.463294,327993,C,32.55
1007093,110022523438,UTICA ENERGY LLC,OSHKOSH,WI,54904,4995 STATE RD 91,,Winnebago,44.0305833,-88.6144839,325193,"C,PP",9.24
1004239,110043805086,UTILITY PLANTS SECTION,FORT WAINWRIGHT,AK,99703,"BLDG 3595, Oak Street",,FAIRBANKS NORTH STAR,64.82639,-147.64958,221111,C,883.26
1002880,110043797521,UW CENTRAL ENERGY PLANT,LARAMIE,WY,82071,654 N. 19th Steet,,ALBANY,41.138122,-104.8097,221330,C,118.02
1007973,110007346194,UW Madison - Charter St.,Madison,WI,53715,117 N. Charter St.,,DANE,43.069813,-89.405693,221330,C,489.09
1007758,110043972234,UW Madison - Walnut St.,Madison,WI,53705,614 Walnut St.,,DANE,43.07596,-89.42511,221330,C,19.11
1007759,110041034225,UW Milwaukee,Milwaukee,WI,53211,3359 N. Downer Ave.,,Milwaukee,43.0824328,-87.879523,221330,C,10.92
1004831,110009853532,UWHARRIE ENVIRONMENTAL,MOUNT GILEAD,NC,27306,500 LANDFILL ROAD,,MONTGOMERY,35.333544,-79.964168,562212,"C,HH",59829
